studentno,studlastname,studmidname,studfirstname,studsuffixname,birthday,age,homeaddress
2009-25134,Harper,,Jonathan,,9/23/1993,23,14 Northview Drive
2004-05674,Austin,Coleman,Nicole,Sr.,4/13/1998,18,446 Walton Junction
2012-98582,Davis,Romero,Carl,,9/17/1995,21,71751 Raven Pass
2002-37552,Fields,Patterson,Todd,,12/17/1997,19,99 Fremont Avenue
2000-91276,Price,Adams,John,,12/7/1995,21,538 Northfield Parkway
2013-57547,Garza,Carr,Joe,III,1/11/1992,24,57 Kim Terrace
2001-53561,Phillips,Lynch,Douglas,II,1/27/1997,19,6417 Nobel Court
2014-86085,Lane,,Lisa,,3/6/1998,18,5939 Raven Junction
2003-72136,Ward,,Joseph,III,12/18/1994,22,1 Stoughton Pass
2009-92684,Palmer,Berry,Walter,I,7/8/1994,22,16 Ohio Drive
2012-59328,Cole,Boyd,Lois,,10/4/1997,19,53761 Bayside Avenue
2000-32563,Ward,Cox,Angela,II,3/26/1996,20,20 Di Loreto Place
2000-93432,King,Phillips,Bonnie,,11/21/1992,24,628 Bay Terrace
2014-16262,Spencer,Owens,Karen,,11/23/1997,19,00 Old Shore Lane
2008-95118,Kelly,,Katherine,II,1/22/1998,18,2376 Oak Valley Terrace
2015-07425,Duncan,,Louis,II,3/17/1993,23,4855 Hoffman Alley
2003-19334,Anderson,Gomez,Amy,,12/3/1994,22,64 Fulton Parkway
2001-06314,Ramirez,Henry,Todd,III,7/10/1996,20,43078 Oxford Point
2002-83832,King,Wells,Joshua,III,12/8/1996,20,73532 Surrey Road
2012-20139,Miller,Stanley,Katherine,,7/14/1992,24,48 David Plaza
2002-36168,Collins,Jones,Gloria,,7/28/1995,21,8 Forster Parkway
2015-80889,Burns,Hanson,Linda,,6/21/1996,20,78 Morrow Terrace
2003-74391,Willis,Jordan,Beverly,,7/20/1992,24,99 Alpine Junction
2009-25443,Taylor,Richardson,Alice,,8/1/1990,26,2 Hanover Center
2006-16633,Chapman,Hicks,Douglas,,2/8/1991,25,90 Orin Point
2015-23456,Anderson,Rogers,Sarah,III,4/12/1998,18,38343 Dexter Plaza
2019-56202,Owens,Hudson,Janice,,6/11/1990,26,4917 Sauthoff Place
2009-01955,Ramirez,Jenkins,Maria,,6/29/1995,21,3 Garrison Lane
2000-04893,Robinson,Carroll,Marilyn,,10/2/1992,24,761 Sunnyside Place
2015-40932,Long,Allen,Amy,,6/21/1995,21,0 Redwing Crossing
2015-92759,Stevens,Williams,Cynthia,II,10/7/1994,22,769 Butternut Parkway
2017-49493,Reed,Davis,Emily,,6/5/1991,25,245 Linden Court
2006-48102,Rogers,Ortiz,Frances,,3/15/1991,25,4415 Esker Avenue
2016-55434,Richardson,Welch,William,,3/6/1998,18,72 Crownhardt Crossing
2008-79858,Brooks,Wright,Janice,,1/25/1998,18,2730 Fallview Crossing
2015-37221,Garrett,Payne,Janet,,11/16/1993,23,0471 Luster Alley
2017-40623,Wright,Sullivan,Juan,,8/12/1991,25,823 Badeau Terrace
2002-98030,Burns,Duncan,Patrick,,1/25/1996,20,46919 Muir Crossing
2006-83378,Meyer,Smith,Jane,,9/10/1994,22,912 Oriole Circle
2007-50494,Holmes,Riley,Jerry,,11/15/1996,20,27961 Donald Way
2002-13693,Graham,,Steve,,3/3/1996,20,8 Barby Court
2003-23252,Howell,,Laura,III,8/20/1991,25,06 Jackson Hill
2005-80004,Romero,Hayes,Edward,I,10/15/1991,25,35 Melby Junction
2011-69117,Stevens,Mason,Amy,,1/27/1995,21,5169 Village Green Circle
2003-96340,Cruz,Gordon,Joshua,,2/11/1990,26,81514 Kennedy Terrace
2018-08234,Day,Ward,Christine,II,4/17/1994,22,6 Cascade Alley
2004-41579,Davis,Clark,Elizabeth,III,8/27/1996,20,420 Paget Crossing
2005-73180,Carter,Cooper,Angela,,1/20/1998,18,9100 Corry Plaza
2012-53318,Flores,Tucker,Amy,Sr.,10/4/1991,25,9 Lyons Street
2004-60595,Warren,Ellis,Mark,I,6/7/1993,23,1979 Washington Plaza
2000-00552,Watson,Carter,Beverly,,8/26/1996,20,60 Red Cloud Road
2012-14312,Bradley,,Ann,III,9/17/1996,20,0629 Main Hill
2017-82893,Young,Henderson,Patricia,III,4/20/1991,25,06 Eastlawn Lane
2005-95196,Hughes,Flores,Aaron,,10/11/1993,23,18 Randy Junction
2012-36344,Martin,,Ashley,,11/12/1991,25,133 Lillian Center
2000-50282,Smith,Morgan,Emily,,8/16/1996,20,5 Hazelcrest Park
2007-62376,Johnson,Burns,Marilyn,,1/8/1997,19,9 Namekagon Circle
2019-98746,Bradley,Davis,Debra,,10/15/1993,23,018 Rusk Plaza
2013-96703,Phillips,Welch,Eugene,,7/30/1991,25,8407 Warner Avenue
2013-45632,Burton,Cook,Eugene,III,9/5/1991,25,80 Luster Road
2016-10916,Harris,Wagner,Brenda,,3/3/1994,22,65 Burning Wood Place
2003-86978,Grant,Romero,Lois,,11/10/1995,21,401 Larry Point
2015-55343,Morales,Robertson,Arthur,,12/13/1995,21,6 Bluestem Point
2003-11816,Simmons,Hart,Pamela,II,2/7/1994,22,43 Laurel Road
2002-32888,Chavez,Evans,Kathy,,8/18/1995,21,57 Manufacturers Center
2018-54239,Olson,Ellis,Elizabeth,,5/8/1994,22,0 Meadow Vale Court
2011-79032,Duncan,Gardner,Tammy,I,6/3/1996,20,3 Grasskamp Lane
2015-40248,Bailey,Ortiz,Samuel,,4/14/1998,18,565 Cardinal Plaza
2004-39432,Ford,Rogers,Brenda,III,10/15/1993,23,817 Bay Place
2008-12260,Bradley,Brooks,Ruby,,1/24/1996,20,1660 Dovetail Hill
2013-54619,Fields,Simmons,Donna,,4/19/1997,19,433 Jackson Way
2010-73063,Rivera,Bell,Louise,III,4/13/1997,19,4430 Helena Road
2006-74890,Webb,Austin,Roy,,5/19/1994,22,2 Elka Circle
2018-77527,Reynolds,Bell,Johnny,,11/20/1996,20,4 Farmco Junction
2013-07849,Griffin,Thompson,Ronald,III,4/6/1997,19,8 Bartelt Center
2017-65958,Burke,Wells,Craig,I,1/21/1992,24,4 Westridge Trail
2006-90357,Powell,James,Norma,III,10/24/1995,21,5139 Lakewood Gardens Trail
2009-35691,Hawkins,,Andrew,III,5/22/1994,22,7865 Butternut Hill
2001-41125,Hayes,Cook,Paula,,6/24/1996,20,70494 Longview Way
2004-70531,Adams,Lopez,Elizabeth,,6/27/1996,20,86 Mcguire Way
2017-93367,Barnes,Mason,Carlos,,4/1/1991,25,851 Banding Lane
2007-93047,Long,Alexander,Aaron,I,3/30/1996,20,73 Hanson Avenue
2011-47678,Bishop,Woods,Joan,II,3/10/1992,24,56 Iowa Trail
2017-45519,Olson,Simpson,Ashley,,11/29/1993,23,1270 Cascade Crossing
2015-02976,Sims,Powell,Barbara,,1/28/1990,26,83559 Green Ridge Lane
2013-09166,Welch,Welch,Amanda,II,3/13/1993,23,750 Barby Terrace
2004-09255,Turner,Taylor,Terry,III,3/21/1998,18,74878 Acker Trail
2006-00499,Perkins,Gonzalez,Paul,,5/27/1994,22,491 Del Mar Drive
2019-33396,Williams,,Robert,Sr.,7/2/1996,20,2257 Laurel Terrace
2007-30788,Reed,Snyder,Joan,III,1/15/1993,23,886 Amoth Road
2009-64533,Ward,Nguyen,Julie,Sr.,10/25/1997,19,368 Brentwood Avenue
2009-39926,Marshall,,Teresa,Sr.,3/7/1993,23,5 Northport Trail
2000-37537,Garcia,Larson,Harold,II,4/4/1997,19,7 Sage Road
2009-54387,Edwards,Murray,Philip,,6/1/1995,21,32949 Hudson Drive
2006-16621,Sims,Knight,Laura,II,12/8/1996,20,8 Lunder Center
2003-28865,Matthews,Phillips,Willie,,2/17/1995,21,18020 Duke Way
2011-62646,Mills,Lee,Pamela,,3/15/1997,19,95 Sycamore Hill
2019-66728,Carpenter,,Cheryl,,11/14/1991,25,896 Tomscot Drive
2015-52157,Wilson,Shaw,Lisa,,10/21/1996,20,21 Bunker Hill Avenue
2000-38141,Peters,Ramirez,Linda,III,9/23/1994,22,334 Holy Cross Circle
2014-85510,Carter,Carter,Earl,II,3/14/1991,25,78 Saint Paul Trail
2012-03110,Clark,King,Dorothy,,1/12/1997,19,38 La Follette Crossing
2006-88299,Greene,Jenkins,Janice,,9/23/1994,22,987 Jana Plaza
2019-17635,Bryant,Hart,Jeremy,III,3/8/1997,19,05 Summit Terrace
2013-06696,Washington,Nelson,Laura,,3/18/1996,20,5222 Arizona Circle
2012-66577,Henry,Taylor,Kelly,II,11/15/1991,25,78680 Mitchell Circle
2006-90274,Sanders,Chavez,Joe,,9/1/1992,24,094 Ohio Avenue
2019-19198,Simpson,Campbell,Michelle,Jr.,5/16/1995,21,87360 Springs Junction
2009-81536,Reyes,Wilson,Robin,,4/20/1997,19,77 Spaight Road
2001-06616,Torres,Gibson,Michelle,I,2/10/1994,22,37 Moose Point
2011-59711,Miller,Cunningham,Phillip,II,3/25/1995,21,759 Kenwood Crossing
2005-04149,Stewart,Austin,Judy,,8/26/1996,20,0 Westridge Park
2012-91084,Castillo,Brooks,Kathryn,,11/20/1991,25,21823 8th Alley
2012-00021,Lee,,Donald,,1/13/1998,18,5 Crowley Lane
2005-07534,Roberts,Sullivan,Andrew,,1/28/1994,22,7 Kings Drive
2019-27178,Hunt,,Alice,,9/17/1995,21,6 Quincy Court
2000-16793,Davis,Sullivan,Christine,,8/14/1994,22,628 Sunnyside Lane
2011-29581,Jacobs,Wilson,Justin,,2/22/1991,25,74529 Hauk Place
2000-19671,Murphy,Banks,Judith,,6/22/1997,19,56 3rd Alley
2010-59158,Smith,Henry,Billy,III,12/11/1990,26,1876 Marcy Crossing
2013-45505,Berry,,Martin,,5/23/1995,21,1048 Kingsford Place
2002-95811,Wheeler,White,Diana,,4/16/1992,24,2386 Trailsway Street
2018-57173,Duncan,Ross,Lillian,,12/14/1996,20,819 Gerald Avenue
2010-04292,Young,Mills,Linda,II,12/26/1992,24,26 Muir Road
2013-54996,Garcia,,Russell,,3/9/1991,25,3758 Nelson Park
2001-99906,Davis,Robinson,Susan,,5/6/1993,23,77 School Crossing
2017-92880,Reyes,Wagner,Doris,,7/23/1997,19,4381 Morningstar Center
2014-92873,Jacobs,Alexander,Terry,III,12/19/1993,23,86 Cascade Center
2009-02240,Foster,Johnson,Ralph,,4/4/1993,23,8 Sycamore Hill
2018-09809,Berry,Elliott,Samuel,,11/21/1996,20,526 Scott Center
2010-09037,Price,White,Richard,,1/12/1993,23,894 Crownhardt Point
2012-57361,Larson,Sullivan,Douglas,,6/18/1990,26,1 Loeprich Hill
2010-80697,Chavez,Greene,Harold,,10/7/1991,25,1 Hayes Junction
2004-73986,Medina,Washington,Jeremy,,8/16/1997,19,81 Truax Avenue
2015-92517,Reyes,Armstrong,Karen,,11/9/1995,21,7 Forest Run Court
2003-57468,Boyd,Hicks,Thomas,III,7/5/1995,21,63819 Oak Parkway
2012-27922,Foster,Fowler,Billy,,7/14/1997,19,244 Merrick Pass
2017-51828,Gutierrez,Frazier,Lori,III,3/11/1992,24,8 Amoth Street
2000-84462,Ramos,,Jean,,7/26/1994,22,4748 Artisan Drive
2015-11086,Sullivan,Duncan,Nancy,,3/28/1991,25,3 Golf Circle
2017-52130,Payne,Hansen,Joyce,,9/17/1996,20,3220 Thackeray Drive
2014-07799,Olson,Banks,Frank,II,3/2/1998,18,35 Village Green Center
2001-38453,Payne,Brown,Andrea,II,6/4/1995,21,5378 Marquette Crossing
2016-76370,Cruz,Richardson,Evelyn,,7/20/1995,21,6219 Scofield Terrace
2004-14525,Fowler,,Betty,,4/3/1998,18,791 Grim Circle
2001-33790,Gibson,,Sean,,11/23/1991,25,51056 Montana Alley
2008-24741,Franklin,Marshall,Kenneth,,8/12/1993,23,3 Vernon Way
2016-62649,Gonzalez,Stephens,Billy,,9/13/1995,21,2852 Sloan Lane
2014-32276,Garza,Jordan,Harry,III,2/12/1990,26,63413 Ruskin Plaza
2011-97803,Collins,Perez,Stephen,III,3/24/1997,19,5 Buena Vista Way
2010-52533,Rice,Richardson,Ralph,,10/19/1990,26,392 Kings Point
2017-86345,Spencer,Ross,Norma,,8/27/1991,25,97155 2nd Avenue
2016-59199,Dean,Webb,Joyce,II,3/21/1995,21,62267 Ridgeway Terrace
2017-94243,Butler,Simpson,Barbara,,11/6/1995,21,4378 Butterfield Circle
2004-67085,Cox,Gonzales,Steven,,3/4/1991,25,35331 South Center
2008-77853,Burton,Hamilton,Catherine,,3/27/1997,19,69192 Golf Course Center
2016-51907,Matthews,Nguyen,Fred,,8/27/1995,21,6611 Steensland Parkway
2013-25983,Sanchez,Welch,Deborah,,2/22/1996,20,5 Shelley Parkway
2016-03069,Reynolds,Watson,Larry,,7/1/1997,19,13 Farmco Crossing
2008-28141,Lewis,Garrett,Melissa,I,7/28/1994,22,7679 Homewood Junction
2000-65727,Fernandez,Woods,Adam,,3/1/1990,26,76 Harbort Road
2019-95454,Dunn,Phillips,Marilyn,,7/24/1993,23,745 Lighthouse Bay Junction
2017-95273,Medina,Rice,Russell,III,10/6/1996,20,9317 Golden Leaf Avenue
2006-82603,Grant,,Lois,II,10/31/1993,23,23928 Meadow Valley Park
2002-63623,Smith,Meyer,James,,1/14/1991,25,269 Basil Hill
2005-39158,Matthews,,Lisa,,12/13/1993,23,104 Thierer Hill
2001-60666,Flores,,Kathleen,,2/23/1992,24,68 Esch Junction
2007-19765,Armstrong,Holmes,Irene,,3/10/1994,22,25275 Caliangt Street
2018-02892,Daniels,Morales,Elizabeth,,8/6/1996,20,75 Reinke Avenue
2015-06267,Kennedy,Torres,Joe,,7/31/1991,25,35 Mariners Cove Terrace
2011-03030,Romero,,Jesse,,3/31/1993,23,51353 Bowman Drive
2006-69700,Stevens,Austin,Laura,I,6/29/1996,20,84287 Cherokee Hill
2007-05422,Bailey,Rose,Cheryl,,7/17/1994,22,60451 Red Cloud Park
2005-96932,Elliott,Holmes,Shawn,II,8/7/1993,23,3 Rusk Court
2009-02360,Gutierrez,Scott,Richard,III,5/15/1996,20,2 Forest Dale Plaza
2000-90533,Foster,Gilbert,Michael,,3/20/1996,20,67 Marcy Circle
2018-17408,Banks,Cruz,Lillian,,7/24/1992,24,39898 Scoville Avenue
2010-21220,Payne,Castillo,Catherine,III,8/30/1997,19,6758 Spaight Park
2015-97060,Simpson,Fuller,Charles,III,2/24/1996,20,410 Ruskin Plaza
2012-16007,Knight,Kelly,Edward,,3/31/1991,25,698 Erie Lane
2017-35394,Reynolds,Hughes,Betty,III,9/21/1996,20,15305 Crownhardt Circle
2012-02875,Brown,,Matthew,,7/27/1995,21,3 Prentice Alley
2012-11206,Lopez,Frazier,Denise,,9/9/1993,23,2 2nd Point
2003-52313,Harrison,Freeman,Anthony,,6/11/1990,26,571 Leroy Terrace
2002-03144,Myers,Lynch,Brandon,,12/10/1990,26,01555 Orin Circle
2008-00649,Flores,Fuller,James,III,3/22/1992,24,7 Porter Hill
2010-94547,Mccoy,Sullivan,Carol,,12/4/1995,21,0443 Sauthoff Hill
2015-46352,Woods,Riley,Susan,,9/7/1997,19,524 Montana Circle
2017-17622,Ford,Stone,Christopher,,2/27/1997,19,1 Mariners Cove Circle
2007-15866,Woods,Watkins,Julia,,1/10/1998,18,319 Fuller Drive
2016-56878,Peterson,Watson,Ernest,I,1/22/1996,20,86 Red Cloud Crossing
2005-70855,Collins,Gomez,Jason,,11/19/1990,26,64 Logan Street
2000-91503,Olson,Green,Diane,III,3/9/1997,19,61 Rusk Plaza
2011-89184,Fox,Martinez,Brandon,,2/16/1992,24,16 Spenser Pass
2009-70071,Hart,Richards,Ruby,,4/4/1995,21,0 Roxbury Drive
2017-75239,Evans,,Ashley,Sr.,3/10/1993,23,7498 Larry Crossing
2000-66183,Murphy,Fowler,Ashley,,12/4/1995,21,4364 Crest Line Court
2015-15864,Bishop,Scott,Christopher,II,9/12/1991,25,7564 Everett Park
2004-17596,Martinez,Grant,Patricia,,11/24/1990,26,08762 Tomscot Place
2001-88637,Pierce,Matthews,Virginia,,5/23/1997,19,9491 Merchant Park
2009-95904,Sanders,Gonzalez,Louis,,8/1/1992,24,0061 Roxbury Junction
2006-45322,Duncan,Tucker,Anna,I,1/9/1997,19,99 Sherman Court
2011-29402,Larson,Burns,Doris,III,8/25/1995,21,20337 Straubel Junction
2012-98463,Franklin,Gibson,Todd,,12/4/1990,26,3650 Everett Lane
2019-35060,Mccoy,Moore,Cheryl,,3/23/1994,22,3387 La Follette Drive
2018-54356,Matthews,Williamson,Terry,Jr.,9/22/1997,19,21452 Sage Terrace
2018-27755,Griffin,Hunt,Jimmy,III,6/4/1997,19,0 Bayside Pass
2007-06318,Campbell,Welch,Patrick,,10/18/1992,24,3665 Esker Way
2008-69954,Howard,,Eugene,II,5/30/1997,19,05 Declaration Circle
2019-85619,Thomas,Hill,Norma,,3/5/1993,23,848 Bashford Pass
2004-27010,Daniels,Bishop,Doris,III,3/15/1994,22,36 Thackeray Parkway
2017-57159,Nichols,Armstrong,Linda,,4/25/1998,18,15 Meadow Ridge Trail
2001-80962,Hansen,Rice,Arthur,,3/9/1992,24,1 Morrow Road
2006-22055,Harper,Turner,Norma,,2/16/1995,21,4 Pearson Parkway
2009-90593,Hernandez,Armstrong,Louis,,11/6/1994,22,02 Hovde Pass
2014-63682,Black,,Katherine,,7/16/1990,26,36 Surrey Parkway
2001-68191,Hill,Foster,Irene,,11/17/1990,26,5282 Mallard Center
2015-04361,Alvarez,Bennett,Roy,II,8/3/1991,25,6026 Hollow Ridge Court
2015-72906,Gordon,Fox,Elizabeth,III,5/3/1992,24,1 Annamark Parkway
2008-41983,Robertson,Lane,Frank,III,9/13/1996,20,93835 Washington Court
2005-12106,Barnes,,Robin,,7/10/1996,20,16760 Kenwood Pass
2005-99073,Long,Scott,Anthony,II,10/29/1990,26,1492 South Trail
2009-35985,Hall,Allen,Amanda,,7/7/1992,24,410 Grim Avenue
2003-27789,Bailey,Diaz,Michael,,9/19/1990,26,33 Lukken Place
2001-35547,Myers,Richardson,Clarence,,10/27/1992,24,950 Northridge Junction
2009-55201,Green,Holmes,Bobby,,11/12/1996,20,2 Dennis Place
2019-65279,Fox,Garza,Doris,,7/8/1992,24,31 Mayer Avenue
2000-08473,Robinson,Morrison,Margaret,,2/2/1994,22,622 Sage Junction
2017-99909,Vasquez,Elliott,Karen,I,5/25/1995,21,3139 Namekagon Hill
2012-26449,Moreno,Martinez,Helen,,7/23/1991,25,47 David Point
2002-97386,Richardson,,Angela,,5/3/1992,24,41038 American Court
2005-37630,Richardson,Woods,Denise,,4/27/1998,18,755 Elgar Crossing
2000-90185,Dixon,Morris,Tammy,,7/26/1995,21,562 Mayfield Street
2018-36389,George,Sanchez,Craig,,9/28/1996,20,7519 Prairieview Drive
2006-51133,Richardson,Ramirez,Robert,,6/29/1995,21,159 Sundown Junction
2008-74932,Martin,Ray,James,III,2/6/1996,20,4 Ludington Junction
2018-42250,Banks,Hall,Ronald,Jr.,4/1/1998,18,184 Crest Line Road
2017-51362,Thomas,Wheeler,Amanda,,1/1/1992,24,68 Sauthoff Pass
2005-76889,Fernandez,,Edward,,9/20/1990,26,891 Corry Pass
2011-58258,White,Dean,Melissa,,1/8/1993,23,9 Old Gate Place
2008-06070,Pierce,Chavez,Howard,III,5/5/1998,18,495 Service Junction
2012-77120,Armstrong,Ortiz,George,II,8/20/1994,22,13 Bonner Hill
2015-90254,Adams,Green,Alan,,6/10/1996,20,3581 Schiller Parkway
2018-75794,Bailey,Lawson,Laura,,12/25/1994,22,84 Ludington Center
2014-69057,Cole,Jacobs,Gerald,,7/3/1993,23,7794 Granby Pass
2005-06815,Greene,Bailey,Diana,,5/10/1997,19,8 Mariners Cove Circle
2010-59763,Mitchell,Duncan,Wayne,II,6/12/1996,20,37 North Terrace
2018-90029,Johnston,Wheeler,Ronald,,4/14/1996,20,2 Parkside Junction
2004-40587,Ruiz,Sanders,Donna,,3/2/1996,20,26363 Bartelt Alley
2002-39187,Lee,Jacobs,Janet,III,7/27/1996,20,539 Union Place
2014-52406,Russell,Johnston,Kimberly,II,4/23/1991,25,767 Hayes Trail
2007-69363,Lee,Rice,John,,3/3/1993,23,75283 Pennsylvania Road
2014-25008,Barnes,Ryan,Kelly,,4/19/1991,25,0 Goodland Alley
2007-56289,Riley,,Jeffrey,,7/15/1990,26,9777 Morning Court
2019-10996,Ortiz,Carpenter,Ashley,,1/3/1996,20,9908 Pearson Junction
2014-72018,Myers,Shaw,Janet,,6/11/1994,22,05 Spenser Terrace
2003-59549,Anderson,Bowman,Teresa,,4/25/1993,23,557 Monument Place
2001-01708,Taylor,Owens,Brian,I,12/16/1990,26,814 Grayhawk Street
2009-87745,Howell,Peterson,Bruce,,4/6/1997,19,97747 Main Parkway
2007-03471,Wallace,,Christina,Sr.,8/24/1995,21,657 Maryland Hill
2015-93915,Powell,Gardner,Debra,II,6/25/1997,19,1115 Bashford Drive
2013-89402,Martin,,Barbara,,3/2/1992,24,9 Pine View Park
2012-97037,Fuller,Wells,Jimmy,,1/20/1996,20,6231 Cambridge Pass
2000-65272,Day,Howard,Rachel,,4/18/1993,23,7589 Thierer Circle
2019-95772,Hunt,,Sara,,12/16/1994,22,45141 Westend Terrace
2003-48526,Morales,Simmons,Deborah,III,1/18/1998,18,58913 Arizona Parkway
2001-66994,Evans,Alexander,Lillian,,6/10/1993,23,9127 Hudson Court
2012-51792,Carter,Mills,Roger,,1/16/1991,25,18 Reinke Circle
2006-70028,Johnson,Bennett,Linda,III,5/24/1997,19,60688 Colorado Point
2011-15440,Bishop,Collins,Charles,,10/3/1993,23,91471 Service Avenue
2000-24757,Pierce,Reyes,Peter,,3/12/1997,19,6 Lien Hill
2018-97234,Robertson,Black,Joshua,I,1/20/1992,24,57089 Anniversary Center
2017-23013,Cruz,Lawson,Albert,,10/18/1995,21,78717 Grim Park
2016-39454,Tucker,Castillo,Terry,,3/28/1994,22,948 Walton Place
2012-90666,Fernandez,Moreno,Denise,,9/26/1992,24,34 Spenser Lane
2000-52401,Hunter,Meyer,Tammy,,2/19/1993,23,1 Pierstorff Alley
2011-84801,Perez,Carroll,Henry,III,11/13/1995,21,809 Lunder Alley
2002-95687,Wilson,Fernandez,James,,9/14/1994,22,1166 Meadow Valley Lane
2013-91698,Kim,Simmons,Alice,,3/24/1991,25,0 Dottie Road
2008-04616,Campbell,Barnes,Theresa,,12/2/1990,26,39406 Beilfuss Trail
2013-67494,Cox,Pierce,Marilyn,,6/3/1993,23,18 Mendota Center
2000-00633,King,Bell,Tina,,2/25/1998,18,87 Melrose Terrace
2005-35257,Ellis,Simmons,Albert,II,6/30/1990,26,99655 Mesta Alley
2007-18432,Morrison,Rodriguez,Tina,,9/10/1996,20,64 Crowley Pass
2017-04118,Foster,Daniels,Jimmy,,3/6/1996,20,707 Graceland Plaza
2006-94277,Olson,Fowler,Joyce,,1/31/1992,24,8297 Banding Hill
2007-36349,Kelly,Bell,Jonathan,III,9/22/1997,19,6 Buell Trail
2013-89230,Harris,,Pamela,,10/3/1995,21,650 Anderson Street
2005-77843,Castillo,Medina,Daniel,,11/9/1991,25,5139 Continental Junction
2004-86759,Foster,Hunter,Jean,III,2/19/1998,18,3 Saint Paul Junction
2013-39524,Hughes,Simmons,Randy,,8/6/1997,19,79 Everett Place
2005-89880,Anderson,,Cheryl,,6/3/1995,21,821 Union Junction
2019-14179,Rice,Grant,Arthur,,7/6/1992,24,2323 Golf View Way
2014-39304,Garza,White,Carol,,5/26/1997,19,412 1st Park
2002-51815,Sims,Greene,Robert,,11/7/1992,24,9 Briar Crest Terrace
2007-31607,Ray,Chapman,Jane,,7/20/1994,22,217 Morning Avenue
2011-44098,Nguyen,Bishop,Lois,,12/27/1992,24,516 Hoffman Crossing
2016-08204,Williams,Reed,Randy,,1/24/1995,21,5 Parkside Avenue
2015-90803,Hansen,Cole,Theresa,,9/9/1997,19,21554 Maryland Center
2004-19701,Andrews,Harper,Kathleen,III,10/19/1996,20,83 Messerschmidt Center
2017-95314,Lynch,Jordan,Randy,III,7/17/1990,26,71016 Village Green Park
2017-99388,Harper,Berry,Mary,III,5/13/1993,23,20 Acker Trail
2013-25340,King,Ray,Jacqueline,III,2/1/1992,24,53418 Gateway Terrace
2007-23024,Olson,Perry,Harold,,3/7/1996,20,68 Sutherland Crossing
2017-67280,Reed,Wood,Juan,,11/6/1995,21,01 Crescent Oaks Drive
2005-61108,Knight,Black,Jane,I,7/25/1997,19,8237 Corscot Road
2001-42633,Henry,Robinson,Michelle,,3/27/1997,19,1533 Melby Lane
2000-84212,Hanson,Mitchell,Raymond,,8/22/1990,26,734 Pierstorff Parkway
2007-08469,Bowman,Grant,Michael,I,9/29/1992,24,19 Mifflin Place
2017-38310,Day,Arnold,Joshua,,6/1/1994,22,56850 Independence Plaza
2011-86730,Cooper,Mills,Justin,,1/5/1998,18,44 Mcbride Terrace
2013-82200,Fisher,Reid,Sara,,10/4/1995,21,3783 Swallow Point
2018-02320,Andrews,Little,Craig,,7/9/1997,19,03 Canary Street
2002-18881,Carroll,Hansen,Emily,,7/8/1990,26,38 Homewood Junction
2018-52927,Baker,Gomez,Christopher,I,3/7/1990,26,306 Badeau Terrace
2001-49275,Porter,,Shawn,,4/26/1997,19,8 Saint Paul Drive
2016-00721,Stewart,Lewis,Bobby,III,6/17/1995,21,4129 Gina Park
2007-72265,Mason,Gilbert,Jesse,,5/13/1997,19,794 Victoria Center
2018-82220,Elliott,Freeman,Sharon,,4/14/1995,21,86 Sutherland Terrace
2007-56578,Scott,Richards,Phyllis,,9/7/1995,21,7075 Veith Way
2007-79109,Hunter,Ruiz,Steven,II,8/3/1997,19,4 Loftsgordon Park
2000-86450,Wallace,Walker,Judy,,6/7/1997,19,8317 John Wall Street
2009-13703,Reynolds,Dean,Barbara,I,9/11/1990,26,9132 Dovetail Plaza
2004-43724,Cox,West,Nancy,,11/16/1994,22,18846 International Pass
2015-60831,Shaw,Jones,Sarah,,9/14/1990,26,8 Loomis Place
2014-56468,Banks,Richards,Antonio,,3/22/1992,24,3 Macpherson Lane
2001-87573,Davis,Lawrence,Adam,,2/17/1996,20,55 Anniversary Park
2003-04569,Jenkins,,Brian,,3/15/1997,19,76 Holmberg Alley
2002-28876,Murphy,Elliott,Jerry,,3/21/1991,25,94 Northview Avenue
2001-81058,Reed,,Helen,,9/10/1992,24,1299 Southridge Court
2011-38261,Woods,Sims,Susan,II,2/28/1990,26,4661 Summer Ridge Drive
2000-19205,Ramos,,Ronald,Sr.,1/1/1993,23,926 Moose Terrace
2009-39837,Young,Porter,Annie,,10/24/1994,22,2652 Sundown Pass
2010-53499,King,Carpenter,Jonathan,,4/7/1996,20,858 Roth Way
2000-83397,Ross,Vasquez,Arthur,II,1/1/1994,22,01 5th Place
2005-05056,Parker,Fowler,Dennis,,11/15/1997,19,099 Larry Junction
2014-40496,Fox,Gibson,Joan,,9/30/1996,20,312 Harper Parkway
2015-92801,Bishop,Moreno,Jimmy,,1/5/1990,26,40444 Garrison Drive
2018-96984,Wagner,Carroll,Christina,,6/28/1997,19,5101 Hoepker Junction
2009-75638,Mason,Payne,Ryan,,5/31/1997,19,63387 Dawn Circle
2002-45352,Thompson,Hunt,Matthew,,3/4/1997,19,72 Burrows Court
2017-97663,Peterson,Lynch,Heather,II,8/30/1996,20,74 Gale Way
2010-59670,Carpenter,Baker,David,III,2/8/1992,24,04 Fallview Street
2004-56185,Lane,Carr,Jose,,11/29/1990,26,961 Rowland Place
2005-58188,Ortiz,Matthews,Sandra,,8/1/1995,21,8 Summerview Terrace
2011-42775,Diaz,Arnold,Gerald,III,5/9/1997,19,2374 Springs Parkway
2000-28404,Harrison,Williamson,Christina,Sr.,7/13/1994,22,1 Reinke Place
